DATE,SEK
2021-06-01,8.3966
2021-07-01,8.6256
2021-08-01,8.6787
2021-09-01,8.644
2021-10-01,8.6624
2021-11-01,8.8036
2021-12-01,9.0896
2022-01-01,9.1533
2022-02-01,9.2857
2022-03-01,9.5652
2022-04-01,9.5585
2022-05-01,9.9373
2022-06-01,10.0349
2022-07-01,10.3874
2022-08-01,10.3771
2022-09-01,10.9101
2022-10-01,11.1111
2022-11-01,10.704
2022-12-01,10.378
2023-01-01,10.3975
2023-02-01,10.4492
2023-03-01,10.4763
2023-04-01,10.3484
2023-05-01,10.4643
2023-06-01,10.7691
2023-07-01,10.5002
2023-08-01,10.8291
2023-09-01,11.0848
2023-10-01,11.0259
2023-11-01,10.6694
2023-12-01,10.2576
2024-01-01,10.3593
2024-02-01,10.4266
2024-03-01,10.4113
2024-04-01,10.8158
2024-05-01,10.7501
2024-06-01,10.487
2024-07-01,10.6386
2024-08-01,10.3902
