DATE,SGD
2021-05-01,1.3298
2021-06-01,1.3335
2021-07-01,1.3554
2021-08-01,1.3548
2021-09-01,1.3479
2021-10-01,1.3507
2021-11-01,1.3567
2021-12-01,1.3634
2022-01-01,1.3504
2022-02-01,1.3464
2022-03-01,1.3585
2022-04-01,1.3662
2022-05-01,1.3829
2022-06-01,1.3842
2022-07-01,1.3954
2022-08-01,1.384
2022-09-01,1.4144
2022-10-01,1.4227
2022-11-01,1.3872
2022-12-01,1.3518
2023-01-01,1.3248
2023-02-01,1.332
2023-03-01,1.3405
2023-04-01,1.3318
2023-05-01,1.3395
2023-06-01,1.3462
2023-07-01,1.3332
2023-08-01,1.3506
2023-09-01,1.3637
2023-10-01,1.3688
2023-11-01,1.3474
2023-12-01,1.3321
2024-01-01,1.3362
2024-02-01,1.3447
2024-03-01,1.3407
2024-04-01,1.3568
2024-05-01,1.3509
2024-06-01,1.3517
2024-07-01,1.3456
2024-08-01,1.3152
