DATE,KRW
1999-01-01,1175.1053
1999-02-01,1188.8368
1999-03-01,1229.7217
1999-04-01,1209.9636
1999-05-01,1197.92
1999-06-01,1168.9136
1999-07-01,1189.0952
1999-08-01,1198.3091
1999-09-01,1201.0
1999-10-01,1205.285
1999-11-01,1176.975
1999-12-01,1136.8043
2000-01-01,1130.99
2000-02-01,1129.7455
2000-03-01,1116.3904
2000-04-01,1110.32
2000-05-01,1119.4864
2000-06-01,1117.935
2000-07-01,1115.075
2000-08-01,1114.467
2000-09-01,1117.57
2000-10-01,1131.099
2000-11-01,1156.5429
2000-12-01,1216.935
2001-01-01,1272.6343
2001-02-01,1252.8526
2001-03-01,1291.405
2001-04-01,1327.7571
2001-05-01,1298.8955
2001-06-01,1295.0476
2001-07-01,1305.2381
2001-08-01,1285.6522
2001-09-01,1293.8333
2001-10-01,1302.3636
2001-11-01,1282.1
2001-12-01,1292.285
2002-01-01,1316.3381
2002-02-01,1320.5526
2002-03-01,1322.9048
2002-04-01,1318.0909
2002-05-01,1262.2
2002-06-01,1219.695
2002-07-01,1179.9868
2002-08-01,1197.5091
2002-09-01,1211.605
2002-10-01,1240.1909
2002-11-01,1210.2
2002-12-01,1206.6143
2003-01-01,1176.4524
2003-02-01,1190.3684
2003-03-01,1237.2
2003-04-01,1231.1045
2003-05-01,1201.2333
2003-06-01,1194.1429
2003-07-01,1181.1636
2003-08-01,1178.6
2003-09-01,1165.4048
2003-10-01,1169.3409
2003-11-01,1186.3889
2003-12-01,1192.3364
2004-01-01,1183.345
2004-02-01,1167.5316
2004-03-01,1166.287
2004-04-01,1152.8636
2004-05-01,1177.875
2004-06-01,1159.0227
2004-07-01,1158.7
2004-08-01,1158.0318
2004-09-01,1148.719
2004-10-01,1141.57
2004-11-01,1086.435
2004-12-01,1050.3739
2005-01-01,1037.9825
2005-02-01,1023.1105
2005-03-01,1007.7761
2005-04-01,1010.0667
2005-05-01,1001.8386
2005-06-01,1012.46
2005-07-01,1036.56
2005-08-01,1021.6804
2005-09-01,1029.8433
2005-10-01,1045.8775
2005-11-01,1040.76
2005-12-01,1022.381
2006-01-01,981.435
2006-02-01,969.8447
2006-03-01,974.7109
2006-04-01,952.595
2006-05-01,940.8168
2006-06-01,954.45
2006-07-01,950.81
2006-08-01,960.9522
2006-09-01,952.29
2006-10-01,952.6429
2006-11-01,935.4143
2006-12-01,924.98
2007-01-01,936.7619
2007-02-01,936.9
2007-03-01,942.8841
2007-04-01,930.6905
2007-05-01,927.5636
2007-06-01,927.8667
2007-07-01,918.119
2007-08-01,934.4848
2007-09-01,928.595
2007-10-01,914.9435
2007-11-01,918.8095
2007-12-01,931.095
2008-01-01,942.0571
2008-02-01,944.005
2008-03-01,981.7348
2008-04-01,986.8636
2008-05-01,1034.1333
2008-06-01,1031.4857
2008-07-01,1015.0545
2008-08-01,1046.1143
2008-09-01,1134.8667
2008-10-01,1329.1877
2008-11-01,1398.7044
2008-12-01,1361.5727
2009-01-01,1354.3975
2009-02-01,1439.5842
2009-03-01,1449.6159
2009-04-01,1332.125
2009-05-01,1254.345
2009-06-01,1259.2932
2009-07-01,1259.6739
2009-08-01,1238.9952
2009-09-01,1211.8643
2009-10-01,1173.7405
2009-11-01,1162.8368
2009-12-01,1163.3109
2010-01-01,1138.1947
2010-02-01,1155.6553
2010-03-01,1136.0822
2010-04-01,1115.4591
2010-05-01,1164.841
2010-06-01,1214.1114
2010-07-01,1203.8095
2010-08-01,1179.5159
2010-09-01,1159.931
2010-10-01,1121.94
2010-11-01,1129.623
2010-12-01,1145.4833
2011-01-01,1118.8675
2011-02-01,1117.4368
2011-03-01,1119.2674
2011-04-01,1083.1762
2011-05-01,1084.3619
2011-06-01,1080.4523
2011-07-01,1057.425
2011-08-01,1073.887
2011-09-01,1121.9095
2011-10-01,1150.685
2011-11-01,1133.4775
2011-12-01,1148.1262
2012-01-01,1140.3275
2012-02-01,1122.69
2012-03-01,1126.17
2012-04-01,1135.0238
2012-05-01,1156.6914
2012-06-01,1163.3886
2012-07-01,1142.2781
2012-08-01,1131.7457
2012-09-01,1122.9911
2012-10-01,1105.3823
2012-11-01,1086.9525
2012-12-01,1075.2225
2013-01-01,1066.5205
2013-02-01,1087.3084
2013-03-01,1102.871
2013-04-01,1120.8977
2013-05-01,1111.4945
2013-06-01,1135.0085
2013-07-01,1125.03
2013-08-01,1115.9418
2013-09-01,1082.3115
2013-10-01,1065.8573
2013-11-01,1061.5637
2013-12-01,1055.6348
2014-01-01,1067.1267
2014-02-01,1071.3063
2014-03-01,1070.491
2014-04-01,1042.635
2014-05-01,1024.7867
2014-06-01,1018.7443
2014-07-01,1021.0341
2014-08-01,1024.55
2014-09-01,1035.8914
2014-10-01,1060.3359
2014-11-01,1097.8728
2014-12-01,1102.6224
2015-01-01,1088.13
2015-02-01,1101.4605
2015-03-01,1112.9005
2015-04-01,1084.6709
2015-05-01,1092.6365
2015-06-01,1112.8832
2015-07-01,1146.5468
2015-08-01,1178.1438
2015-09-01,1184.33
2015-10-01,1143.199
2015-11-01,1153.4721
2015-12-01,1169.9464
