DATE,GBP
1999-01-01,0.606134076857801
1999-02-01,0.6144015728680265
1999-03-01,0.6167889964843027
1999-04-01,0.6215426689042203
1999-05-01,0.619041723412158
1999-06-01,0.6269592476489029
1999-07-01,0.6348803250587265
1999-08-01,0.6227425582264292
1999-09-01,0.6154982458299993
1999-10-01,0.6034274680183442
1999-11-01,0.617093489663684
1999-12-01,0.6198859409868585
2000-01-01,0.60960741282614
2000-02-01,0.625
2000-03-01,0.6329514526235838
2000-04-01,0.6319914049168931
2000-05-01,0.6626905235255136
2000-06-01,0.6626027034190299
2000-07-01,0.6633059166887768
2000-08-01,0.6716367788300088
2000-09-01,0.6975446428571429
2000-10-01,0.6893699158968704
2000-11-01,0.7013606396409033
2000-12-01,0.6835737234260715
2001-01-01,0.676818950930626
2001-02-01,0.6884681583476765
2001-03-01,0.6922810661128419
2001-04-01,0.6969612489545581
2001-05-01,0.7010164738871363
2001-06-01,0.7132667617689016
2001-07-01,0.7068136839129205
2001-08-01,0.6957973838018369
2001-09-01,0.6831534362617844
2001-10-01,0.6896076132680505
2001-11-01,0.6965728615213151
2001-12-01,0.6938180808991882
2002-01-01,0.6982265046781176
2002-02-01,0.7028888732691361
2002-03-01,0.7027406886858749
2002-04-01,0.6930487213251091
2002-05-01,0.6850253459377997
2002-06-01,0.6739906989283547
2002-07-01,0.6424670735624799
2002-08-01,0.6507027589796981
2002-09-01,0.6425496369594551
2002-10-01,0.6420545746388443
2002-11-01,0.6364967220418815
2002-12-01,0.6303977809998108
2003-01-01,0.6182380216383307
2003-02-01,0.621929224454257
2003-03-01,0.631911532385466
2003-04-01,0.6353643814727746
2003-05-01,0.6163708086785009
2003-06-01,0.6020832078993317
2003-07-01,0.61648480364959
2003-08-01,0.6273919317397578
2003-09-01,0.6190034045187249
2003-10-01,0.5955216769890423
2003-11-01,0.5918210333195242
2003-12-01,0.5709065996802923
2004-01-01,0.5477951246233909
2004-02-01,0.5355325871579286
2004-03-01,0.5476151360823613
2004-04-01,0.5546004104043037
2004-05-01,0.5599104143337066
2004-06-01,0.5470758794244761
2004-07-01,0.5423581733376722
2004-08-01,0.54935999560512
2004-09-01,0.5575068294586608
2004-10-01,0.5531891353653814
2004-11-01,0.5374321491911646
2004-12-01,0.5185108368764907
2005-01-01,0.5319997872000851
2005-02-01,0.5299136240792751
2005-03-01,0.5251273433807698
2005-04-01,0.5273983439691999
2005-05-01,0.5388221348132981
2005-06-01,0.550145788633988
2005-07-01,0.5712000913920147
2005-08-01,0.5572893446277307
2005-09-01,0.5535872453498671
2005-10-01,0.5665401393688744
2005-11-01,0.5764020981036371
2005-12-01,0.5728032993470042
2006-01-01,0.5654189754608164
2006-02-01,0.5720823798627003
2006-03-01,0.5733287467033598
2006-04-01,0.5656108597285068
2006-05-01,0.5351313747525017
2006-06-01,0.5424464334147003
2006-07-01,0.5422111370167543
2006-08-01,0.5279552293965472
2006-09-01,0.5308137374595254
2006-10-01,0.5329070077271516
2006-11-01,0.5228758169934641
2006-12-01,0.5094503031229304
2007-01-01,0.510542706897432
2007-02-01,0.5104905814487722
2007-03-01,0.5135051864023826
2007-04-01,0.5030434126465114
2007-05-01,0.5039814534825119
2007-06-01,0.5033472592741732
2007-07-01,0.49127978383689513
2007-08-01,0.49726504226752855
2007-09-01,0.4954419342053111
2007-10-01,0.489021468042447
2007-11-01,0.4830684507994783
2007-12-01,0.4960071425028521
2008-01-01,0.507562683991473
2008-02-01,0.5090094675760969
2008-03-01,0.49962528103922055
2008-04-01,0.5046427129592249
2008-05-01,0.5089058524173028
2008-06-01,0.5085435313262815
2008-07-01,0.502815768302494
2008-08-01,0.5300821627352239
2008-09-01,0.5563901407667057
2008-10-01,0.5930494603249912
2008-11-01,0.6524434005350036
2008-12-01,0.6732193348592971
2009-01-01,0.6914672935970129
2009-02-01,0.6933851060879213
2009-03-01,0.7057163020465772
2009-04-01,0.6797172376291463
2009-05-01,0.6485925541574783
2009-06-01,0.6109108681043436
2009-07-01,0.6105751618024179
2009-08-01,0.6048874909266876
2009-09-01,0.6126324817741836
2009-10-01,0.616827041697508
2009-11-01,0.6024459304777396
2009-12-01,0.6162948354492789
2010-01-01,0.6188884762965714
2010-02-01,0.6402868485081316
2010-03-01,0.6640988179041041
2010-04-01,0.6522306287503261
2010-05-01,0.6817097279978185
2010-06-01,0.677139761646804
2010-07-01,0.6534239414532148
2010-08-01,0.6385288295766554
2010-09-01,0.641395676993137
2010-10-01,0.6302388605281402
2010-11-01,0.626527159952384
2010-12-01,0.6412311638345624
2011-01-01,0.6336332530731212
2011-02-01,0.6201935003721161
2011-03-01,0.6188501763723003
2011-04-01,0.6105378838756945
2011-05-01,0.612294881214793
2011-06-01,0.6165608237252606
2011-07-01,0.6188884762965714
2011-08-01,0.6113964294448521
2011-09-01,0.6340752013188764
2011-10-01,0.6341958396752917
2011-11-01,0.6326711375427053
2011-12-01,0.6415602745877975
2012-01-01,0.6441638752898737
2012-02-01,0.6327512022272842
2012-03-01,0.6319514661274014
2012-04-01,0.625
2012-05-01,0.6279829188646069
2012-06-01,0.6428387760349704
2012-07-01,0.6413134098634002
2012-08-01,0.6360513929525505
2012-09-01,0.6201165819174005
2012-10-01,0.6218905472636815
2012-11-01,0.62625250501002
2012-12-01,0.6193868070610096
2013-01-01,0.6263701847792045
2013-02-01,0.6462453147214682
2013-03-01,0.6631299734748011
2013-04-01,0.6531252041016263
2013-05-01,0.6537229522128521
2013-06-01,0.6454527851287679
2013-07-01,0.6588049278608604
2013-08-01,0.6449532408900355
